2024-04-19 18:18:22 info: Congratulations, your extension "Embold" is now active!
2024-04-19 18:18:22 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-04-19 18:18:27 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-04-19 18:18:27 info: Extension installed on machine OS : darwin
2024-04-19 18:18:27 info: Fetched the issues from DB
2024-04-19 18:18:28 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-04-19 20:07:14 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:08:16 info: Row(s) deleted
2024-04-19 20:12:22 info: Row(s) deleted
2024-04-19 20:12:22 info: Row(s) deleted
2024-04-19 20:12:22 info: Row(s) deleted
2024-04-19 20:12:22 info: Row(s) deleted
2024-04-19 20:12:22 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:19:34 info: Row(s) deleted
2024-04-19 20:20:50 info: Row(s) deleted
2024-04-19 20:20:50 info: Row(s) deleted
2024-04-19 20:21:28 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:31 info: Row(s) deleted
2024-04-19 20:21:38 info: Row(s) deleted
2024-04-19 20:21:38 info: Row(s) deleted
2024-04-19 20:21:38 info: Row(s) deleted
2024-04-19 20:21:38 info: Row(s) deleted
2024-04-19 20:21:38 info: Row(s) deleted
2024-04-19 20:21:38 info: Row(s) deleted
2024-04-19 20:21:39 info: Row(s) deleted
2024-04-19 20:21:39 info: Row(s) deleted
2024-04-19 20:21:39 info: Row(s) deleted
2024-04-19 20:21:39 info: Row(s) deleted
2024-04-19 20:21:39 info: Row(s) deleted
2024-04-19 20:22:52 info: Row(s) deleted
2024-04-19 20:23:20 info: Row(s) deleted
2024-04-19 20:23:26 info: Row(s) deleted
2024-04-19 20:23:26 info: Row(s) deleted
2024-04-19 20:24:25 info: Row(s) deleted
2024-04-19 20:24:39 info: Row(s) deleted
2024-04-19 20:24:39 info: Row(s) deleted
2024-04-19 20:24:39 info: Row(s) deleted
2024-04-19 20:24:39 info: Row(s) deleted
2024-04-19 20:24:41 info: Row(s) deleted
2024-04-19 20:24:41 info: Row(s) deleted
2024-04-19 20:26:34 info: Row(s) deleted
2024-04-19 20:26:34 info: Row(s) deleted
2024-04-19 20:26:34 info: Row(s) deleted
2024-04-19 20:26:34 info: Row(s) deleted
2024-04-19 20:26:34 info: Row(s) deleted
2024-04-19 20:29:03 info: Row(s) deleted
2024-04-19 20:29:03 info: Row(s) deleted
2024-04-19 20:29:03 info: Row(s) deleted
2024-04-19 20:29:03 info: Row(s) deleted
2024-04-19 20:30:14 info: Row(s) deleted
2024-04-19 20:30:14 info: Row(s) deleted
2024-04-19 20:30:31 info: Row(s) deleted
2024-04-19 20:30:31 info: Row(s) deleted
2024-04-19 20:30:54 info: Row(s) deleted
2024-04-19 20:30:54 info: Row(s) deleted
2024-04-19 20:31:02 info: Row(s) deleted
2024-04-19 20:31:02 info: Row(s) deleted
2024-04-19 20:31:09 info: Row(s) deleted
2024-04-19 20:31:09 info: Row(s) deleted
2024-04-19 20:31:19 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:22 info: Row(s) deleted
2024-04-19 20:31:26 info: Row(s) deleted
2024-04-19 20:31:26 info: Row(s) deleted
2024-04-19 20:31:26 info: Row(s) deleted
2024-04-19 20:31:26 info: Row(s) deleted
2024-04-19 20:31:27 info: Row(s) deleted
2024-04-19 20:31:27 info: Row(s) deleted
2024-04-19 20:31:27 info: Row(s) deleted
2024-04-19 20:31:27 info: Row(s) deleted
2024-04-19 20:31:52 info: Row(s) deleted
2024-04-19 20:31:52 info: Row(s) deleted
2024-04-19 20:32:01 info: Row(s) deleted
2024-04-19 20:32:01 info: Row(s) deleted
2024-04-19 20:32:56 info: Row(s) deleted
2024-04-19 20:32:56 info: Row(s) deleted
2024-04-19 20:33:00 info: Row(s) deleted
2024-04-19 20:33:00 info: Row(s) deleted
2024-04-19 20:33:10 info: Row(s) deleted
2024-04-19 20:33:10 info: Row(s) deleted
2024-04-19 20:33:36 info: Row(s) deleted
2024-04-19 20:33:36 info: Row(s) deleted
2024-04-19 20:33:43 info: Row(s) deleted
2024-04-19 20:33:43 info: Row(s) deleted
2024-04-19 20:33:43 info: Row(s) deleted
2024-04-19 20:33:43 info: Row(s) deleted
2024-04-19 20:34:02 info: Row(s) deleted
2024-04-19 20:34:02 info: Row(s) deleted
2024-04-19 20:34:17 info: Row(s) deleted
2024-04-19 20:34:30 info: Row(s) deleted
2024-04-19 20:34:30 info: Row(s) deleted
2024-04-19 20:34:32 info: Row(s) deleted
2024-04-19 20:34:32 info: Row(s) deleted
2024-04-19 20:34:41 info: Row(s) deleted
2024-04-19 20:34:41 info: Row(s) deleted
2024-04-19 20:34:57 info: Row(s) deleted
2024-04-19 20:35:08 info: Row(s) deleted
2024-04-19 20:35:08 info: Row(s) deleted
2024-04-19 20:35:14 info: Row(s) deleted
2024-04-19 20:35:14 info: Row(s) deleted
2024-04-19 20:35:40 info: Row(s) deleted
2024-04-19 20:35:40 info: Row(s) deleted
2024-04-19 20:36:14 info: Row(s) deleted
2024-04-19 20:36:14 info: Row(s) deleted
2024-04-19 20:36:16 info: Row(s) deleted
2024-04-19 20:36:16 info: Row(s) deleted
2024-04-19 20:36:27 info: Row(s) deleted
2024-04-19 20:36:27 info: Row(s) deleted
2024-04-19 20:36:30 info: Row(s) deleted
2024-04-19 20:36:30 info: Row(s) deleted
2024-04-19 20:36:42 info: Row(s) deleted
2024-04-19 20:36:42 info: Row(s) deleted
2024-04-19 20:36:43 info: Row(s) deleted
2024-04-19 20:36:43 info: Row(s) deleted
2024-04-19 20:36:46 info: Row(s) deleted
2024-04-19 20:36:46 info: Row(s) deleted
2024-04-19 20:36:49 info: Row(s) deleted
2024-04-19 20:36:49 info: Row(s) deleted
2024-04-19 20:38:17 info: Row(s) deleted
2024-04-19 20:38:17 info: Row(s) deleted
2024-04-19 20:38:23 info: Row(s) deleted
2024-04-19 20:38:23 info: Row(s) deleted
2024-04-19 20:38:29 info: Row(s) deleted
2024-04-19 20:38:29 info: Row(s) deleted
2024-04-19 20:38:37 info: Row(s) deleted
2024-04-19 20:38:37 info: Row(s) deleted
2024-04-19 20:38:41 info: Row(s) deleted
2024-04-19 20:38:41 info: Row(s) deleted
2024-04-19 20:39:02 info: Row(s) deleted
2024-04-19 20:39:02 info: Row(s) deleted
2024-04-19 20:39:02 info: Row(s) deleted
2024-04-19 20:39:15 info: Row(s) deleted
2024-04-19 20:39:18 info: Row(s) deleted
2024-04-19 20:39:18 info: Row(s) deleted
2024-04-19 20:40:05 info: Row(s) deleted
2024-04-19 20:40:05 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:48 info: Row(s) deleted
2024-04-19 20:43:55 info: Row(s) deleted
2024-04-19 20:43:55 info: Row(s) deleted
2024-04-19 20:45:04 info: Row(s) deleted
2024-04-19 20:45:04 info: Row(s) deleted
2024-04-19 20:45:04 info: Row(s) deleted
2024-04-19 20:45:04 info: Row(s) deleted
2024-04-19 20:52:02 info: Row(s) deleted
2024-04-19 20:52:02 info: Row(s) deleted
2024-04-19 20:52:02 info: Row(s) deleted
2024-04-19 20:52:02 info: Row(s) deleted
2024-04-19 20:52:02 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:53:48 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:29 info: Row(s) deleted
2024-04-19 20:54:49 info: Row(s) deleted
2024-04-19 20:54:49 info: Row(s) deleted
2024-04-19 20:54:49 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:18 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:28 info: Row(s) deleted
2024-04-19 20:58:30 info: Row(s) deleted
2024-04-19 20:58:30 info: Row(s) deleted
2024-04-19 20:58:30 info: Row(s) deleted
2024-04-19 20:58:30 info: Row(s) deleted
2024-04-19 20:58:30 info: Row(s) deleted
2024-04-19 20:59:28 info: Row(s) deleted
2024-04-19 20:59:28 info: Row(s) deleted
2024-04-19 20:59:28 info: Row(s) deleted
2024-04-19 21:02:03 info: Row(s) deleted
2024-04-19 21:02:03 info: Row(s) deleted
2024-04-19 21:02:03 info: Row(s) deleted
2024-04-19 21:02:03 info: Row(s) deleted
2024-04-19 21:02:03 info: Row(s) deleted
2024-04-19 21:09:07 info: Row(s) deleted
2024-04-19 21:09:07 info: Row(s) deleted
2024-04-19 21:09:07 info: Row(s) deleted
2024-04-19 21:09:07 info: Row(s) deleted
2024-04-19 21:09:07 info: Row(s) deleted
2024-04-19 21:09:07 info: Row(s) deleted
2024-04-19 21:12:38 info: Row(s) deleted
2024-04-19 21:12:38 info: Row(s) deleted
2024-04-19 21:12:38 info: Row(s) deleted
2024-04-19 21:14:50 info: Row(s) deleted
2024-04-19 21:14:50 info: Row(s) deleted
2024-04-19 21:14:50 info: Row(s) deleted
2024-04-19 21:14:50 info: Row(s) deleted
2024-04-19 21:14:50 info: Row(s) deleted
2024-04-19 21:14:50 info: Row(s) deleted
2024-04-19 21:15:47 info: Row(s) deleted
2024-04-19 21:15:47 info: Row(s) deleted
2024-04-19 21:15:47 info: Row(s) deleted
2024-04-19 21:15:47 info: Row(s) deleted
2024-04-19 21:15:47 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:18:29 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:21 info: Row(s) deleted
2024-04-19 21:24:30 info: Congratulations, your extension "Embold" is now active!
2024-04-19 21:24:30 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-04-19 21:24:33 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-04-19 21:24:33 info: Extension installed on machine OS : darwin
2024-04-19 21:24:33 info: Fetched the issues from DB
2024-04-19 21:24:33 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-04-19 21:24:33 info: Current installed embold extension version : 0.1.8
2024-04-19 21:24:33 info: Latest embold extension version on marketplace : 0.1.6
2024-04-19 21:24:33 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-04-19 21:24:33 info: Java installed on machine.
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:28:28 info: Row(s) deleted
2024-04-19 21:31:56 info: Row(s) deleted
2024-04-19 21:31:56 info: Row(s) deleted
2024-04-19 21:31:56 info: Row(s) deleted
2024-04-19 21:31:56 info: Row(s) deleted
